CLONE	CBSD3S	CBSD3S.ebv	CBSD3S.wt	CBSD6S	CBSD6S.ebv	CBSD6S.wt	CBSDRS	CBSDRS.ebv	CBSDRS.wt
Ug120001	0.628953282	0.449540229	10.03714201	0.481231544	0.367206182	5.464900417	-1.226053266	-0.96174099	5.158319837
Ug120002	1.038061911	0.710379404	8.925293118	0.897445469	0.659818522	4.875601027	-0.919186789	-0.721138494	5.160991932
Ug120003	-0.425697393	-0.291464635	8.936957235	-0.113270707	-0.083336452	4.88560537	1.101192105	0.671566486	2.613737236
Ug120004	-0.092052012	-0.054422162	6.32966473	0.019787166	0.013814456	4.214237414	-0.337588193	-0.255728703	4.602389328
Ug120005	-0.338339376	-0.231954639	8.967369107	-0.481887564	-0.368368376	5.496414937	0.692752244	0.524838881	4.604249206
Ug120006	0.213236791	0.15249151	10.05227881	0.205103435	0.156592894	5.474685488	-0.709435334	-0.556536997	5.159630502
Ug120007	-0.637350145	-0.374355719	6.242259376	0.560727472	0.362955303	3.47880167	0.652416298	0.397105382	2.602502586
Ug120008	0.223386573	0.160043663	10.10432011	0.524071603	0.400429892	5.48828195	0.976575549	0.766243819	5.162861811
Ug120009	0.654051745	0.448088163	8.95126409	1.360764816	1.001235662	4.886799111	1.36567544	1.034596169	4.603426495
Ug120010	1.052182358	0.678733647	7.704498238	0.567342657	0.330664852	2.750133555	1.833970368	0.936030306	1.8252288
Ug120011	-0.095694807	-0.068232696	9.969748189	-0.11190245	-0.085222606	5.431304869	0.957441591	0.750114025	5.136833124
Ug120012	0.06809063	0.048785557	10.10579371	0.129213071	0.098742469	5.490778054	0.39034278	0.295716704	4.603637707
Ug120013	-0.096695887	-0.06931733	10.12087526	-0.093054497	-0.071128584	5.495205571	0.649587129	0.509722127	5.16427562
Ug120014	-0.079431236	-0.05404689	8.793773162	-0.341176455	-0.237173441	4.166044845	0.298134664	0.215200067	3.983399005
Ug120015	0.932511572	0.666286116	10.02784308	0.667859028	0.509552942	5.462836977	0.047721456	0.036136025	4.59688236
Ug120016	0.490625701	0.351576133	10.11006535	-0.042425138	-0.032421607	5.491334597	0.50619267	0.365743858	3.994715504
Ug120017	0.046797847	0.031999651	8.906718485	0.022898144	0.016830273	4.87143759	1.901345889	1.440177386	4.60114518
Ug120018	-0.005878943	-0.003986989	8.719391782	-0.270922794	-0.198924634	4.856634067	0.657780297	0.47503161	3.98894806
Ug120019	0.621309461	0.444469962	10.06208862	0.490886267	0.374714889	5.471501936	0.893994046	0.645482769	3.986545153
Ug120020	-0.206283659	-0.147321584	10.01459774	-0.603897007	-0.421146298	4.201733288	0.746510212	0.539246655	3.991837618
Ug120021	-0.066579648	-0.047597238	10.04298076	0.073872478	0.056386483	5.470386015	0.092535078	0.072585352	5.158069567
Ug120022	-0.188421569	-0.134206894	9.940348907	-0.676870028	-0.514868181	5.410522938	-1.019745173	-0.76986833	4.553955566
Ug120023	-0.683154413	-0.355069935	4.892162178	-0.807569235	-0.389501803	1.912029313	0.660353638	0.33703922	1.825277545
Ug120024	-0.211051099	-0.149965154	9.8743027	-0.33794341	-0.256856173	5.39693472	-1.201365777	-0.94093962	5.131683527
Ug120025	-0.358228582	-0.256187955	10.05324951	-0.89353982	-0.682343665	5.478319214	-0.271136505	-0.205366101	4.600676077
Ug120026	-0.548447365	-0.37412877	8.851896445	-0.541744468	-0.397827339	4.858517879	-0.266317738	-0.201678562	4.597977749
Ug120027	-0.230364829	-0.164807001	10.06371742	-0.187326213	-0.143040053	5.477103543	0.848504129	0.642668292	4.600414877
Ug120028	0.168311157	0.114584908	8.806069642	0.144989782	0.106405125	4.849459452	1.261557629	0.911072328	3.98905596
Ug120029	0.189458513	0.121674961	7.623908702	0.114294267	0.079724218	4.204221347	1.077354419	0.778150778	3.990615077
Ug120030	-0.52145051	-0.308037655	6.31872165	-0.692782858	-0.45011766	3.510257504	0.264666789	0.191189558	3.992179534
Ug120031	-0.319055895	-0.218568225	8.949592026	-0.101485495	-0.074688117	4.889941963	-0.479539423	-0.363249261	4.60199629
Ug120032	0.074497387	0.038815923	4.914968234	-0.609391622	-0.353984659	2.730863182	-1.415204855	-0.862676706	2.611108996
Ug120033	0.052384621	0.03569208	8.824610932	0.763210397	0.559653491	4.837963863	1.2089625	0.915316905	4.594622249
Ug120034	-0.025128186	-0.018008462	10.11310765	-0.059767689	-0.045684128	5.494884206	0.444645279	0.348898628	5.16385068
Ug120035	-0.312165109	-0.184577301	6.331267057	-0.408572687	-0.265297124	3.505091613	1.077599835	0.727950407	3.331740444
Ug120036	-0.738869307	-0.504739121	8.884366182	-0.318974908	-0.243426887	5.467155844	-0.674442953	-0.510773909	4.598770503
Ug120037	-0.105107494	-0.07538045	10.13344678	-0.302038743	-0.222167465	4.882291086	-0.878742399	-0.634858701	3.99351395
Ug120038	-0.065015756	-0.02753337	3.428058299	0.108770603	0.052560974	1.918440784	0.584595939	0.356273162	2.609758278
Ug120039	-0.210579126	-0.135162289	7.613649978	-0.306600397	-0.213841357	4.203003572	1.690994627	1.22137164	3.990626757
Ug120040	-0.268517021	-0.183060744	8.838041747	-0.391735361	-0.287443152	4.847290917	-0.088518874	-0.067019253	4.594790051
Ug120041	-0.06567836	-0.027462101	3.358522585	0.111904527	0.053652833	1.892071932	-1.33598921	-0.681213133	1.821987322
Ug120042	0.041520269	0.026533474	7.535163398	-0.000401253	-0.000279412	4.185069022	1.236209946	0.892588918	3.986787118
Ug120043	0.011948025	0.006255648	4.960179255	-0.046852701	-0.02733068	2.755111112	0.004564268	0.002783778	2.614238213
Ug120044	0.38212742	0.243219848	7.464502098	-0.080490348	-0.056031721	4.181547253	0.135920358	0.091785358	3.328702001
